0,4
4,8
12,8
20,22
42,10
52,10
62,28
90,22
112,12
124,12
136,27
163,22
185,12
197,12
209,15
224,29
253,29
282,11
293,22
315,13
328,14
342,4
346,4
350,19
369,6
375,14
389,23
412,14
426,14
440,23
463,14
477,22
499,16
515,8
523,17
540,18
558,10
568,10
578,21
599,21
620,7
627,7
634,9
643,9
652,10
662,10
672,13
685,11
696,9
705,16
721,26
747,27
774,12
786,13
799,11
810,8
818,11
829,11
840,17
857,17
874,15
889,19
908,19
927,19
946,17
963,31
994,29
1023,22
1045,31
1076,40
1116,29
1145,29
1174,13
1187,28
1215,36
1251,18
1269,17
1286,21
1307,17
1324,17
1341,17
1358,22
1380,27
1407,17
1424,29
1453,33
1486,30
1516,21
1537,21
1558,16
1574,24
1598,8
1606,21
1627,25
1652,15
1667,26
1693,24
1717,32
1749,25
1774,25
1799,32
1831,32
1863,21
1884,18
1902,23
1925,28
1953,17
1970,18
1988,29
2017,15
2032,16
2048,28
2076,24
2100,19
2119,18
2137,38
2175,30
2205,20
2225,25
2250,20
2270,12
2282,25
2307,46
2353,29
2382,20
2402,32
2434,27
2461,43
2504,31
2535,12
2547,26
2573,37
2610,48
2658,27
2685,16
2701,19
2720,20
2740,22
2762,35
2797,38
2835,24
2859,30
2889,43
2932,46
2978,36
3014,26
3040,20
3060,38
3098,11
3109,31
3140,14
3154,16
3170,30
3200,14
3214,39
3253,32
3285,31
3316,9
3325,29
3354,32
3386,27
3413,33
3446,30
3476,35
3511,28
3539,45
3584,28
3612,28
3640,32
3672,28
3700,20
3720,15
3735,21
3756,8
3764,34
3798,48
3846,13
3859,41
3900,38
3938,18
3956,22
3978,38
4016,51
4067,13
4080,58
4138,26
4164,26
4190,33
4223,5
4228,38
4266,18
4284,10
4294,30
4324,32
4356,23
4379,40
4419,46
4465,21
4486,20
4506,26
4532,16
4548,28
4576,17
4593,16
4609,35
4644,36
4680,28
4708,22
4730,27
4757,19
4776,41
4817,14
4831,5
4836,13
4849,32
4881,20
4901,34
4935,20
4955,21
4976,9
4985,7
4992,27
5019,24
5043,10
5053,26
5079,18
5097,23
5120,24
5144,20
5164,19
5183,17
5200,24
5224,32
5256,17
5273,18
5291,37
5328,52
5380,51
5431,19
5450,12
5462,21
5483,38
5521,6
5527,16
5543,11
5554,52
5606,9
5615,51
5666,10
5676,23
5699,30
5729,23
5752,30
5782,52
5834,38
5872,17
5889,17
5906,18
5924,6
5930,21
5951,26
5977,39
6016,17
6033,25
6058,18
6076,36
6112,20
6132,43
6175,29
6204,25
6229,55
6284,6
6290,23
6313,24
6337,36
6373,20
6393,31
6424,38
6462,23
6485,42
6527,11
6538,19
6557,21
6578,36
6614,15
6629,18
6647,25
6672,22
6694,12
6706,15
6721,28
6749,40
6789,24
6813,20
6833,25
6858,13
6871,54
6925,25
6950,6
6956,9
6965,52
7017,12
7029,16
7045,37
7082,31
7113,31
7144,31
7175,31
7206,31
7237,31
7268,31
7299,31
7330,31
7361,16
7377,10
7387,48
7435,35
7470,27
7497,25
7522,10
7532,25
7557,22
7579,36
7615,13
7628,20
7648,15
7663,11
7674,18
7692,28
7720,10
7730,9
7739,6
7745,21
7766,27
7793,34
7827,50
7877,21
7898,7
7905,14
7919,29
7948,14
7962,29
7991,9
8000,15
8015,12
8027,13
8040,25
8065,62
8127,35
8162,41
8203,28
8231,25
8256,40
8296,17
8313,51
8364,34
8398,22
8420,20
8440,12
8452,23
8475,27
8502,33
8535,10
8545,33
8578,16
8594,36
8630,14
8644,17
8661,19
8680,10
8690,29
